objective,train_acc,test_acc,train_auc,test_auc,n_iter,n_trees
4201.0,0.8715596330275229,0.8571428571428571,0.7754329004329004,0.8347826086956522,1,1
4201.0,0.8715596330275229,0.8571428571428571,0.7754329004329004,0.8347826086956522,2,1
3303.0,0.8990825688073395,0.8571428571428571,0.8011363636363636,0.8347826086956522,3,3
3303.0,0.8990825688073395,0.8571428571428571,0.8011363636363636,0.8347826086956522,4,3
3009.0,0.926605504587156,0.8571428571428571,0.9247835497835498,0.8565217391304347,5,5
3009.0,0.926605504587156,0.8571428571428571,0.9247835497835498,0.8565217391304347,6,5
2708.0,0.926605504587156,0.8571428571428571,0.9345238095238095,0.8043478260869565,7,7
2113.0,0.9541284403669725,0.7857142857142857,0.9748376623376623,0.8782608695652174,8,8
1807.0,0.944954128440367,0.7857142857142857,0.9767316017316018,0.8913043478260869,9,9
1211.0,0.963302752293578,0.8214285714285714,0.9864718614718615,0.7956521739130434,10,9
911.0,0.9724770642201835,0.8214285714285714,0.983495670995671,0.8826086956521739,11,10
35.0,1.0,0.8214285714285714,1.0,0.8956521739130434,12,12
17.0,1.0,0.8571428571428571,1.0,0.9304347826086956,13,13
12.8125,1.0,0.8214285714285714,1.0,0.8956521739130434,14,13
11.869565217391305,1.0,0.8214285714285714,1.0,0.8956521739130434,15,15
11.356521739130436,1.0,0.8214285714285714,1.0,0.8869565217391304,16,16
10.805309734513276,1.0,0.8214285714285714,1.0,0.8782608695652174,17,17
10.603174603174603,1.0,0.8214285714285714,1.0,0.8869565217391304,18,18
10.454545454545455,1.0,0.8214285714285714,1.0,0.8956521739130434,19,19
10.091891891891892,1.0,0.8214285714285714,1.0,0.8869565217391304,20,20
10.036844386649324,1.0,0.8214285714285714,1.0,0.8956521739130434,21,20
9.771494965143294,1.0,0.8214285714285714,1.0,0.8695652173913044,22,21
9.715334420880913,1.0,0.8571428571428571,1.0,0.8869565217391304,23,22
9.6102682780492,1.0,0.8928571428571429,1.0,0.9043478260869565,24,23
9.569616669497764,1.0,0.8571428571428571,1.0,0.8956521739130434,25,23
9.106741979868204,1.0,0.8928571428571429,1.0,0.9217391304347826,26,24
9.0201127483632,1.0,0.8571428571428571,1.0,0.9130434782608696,27,23
8.659951766207973,1.0,0.8571428571428571,1.0,0.9130434782608696,28,25
8.385248970423065,1.0,0.8571428571428571,1.0,0.9478260869565217,29,24
8.299703264094951,1.0,0.8571428571428571,1.0,0.9391304347826087,30,27
8.250399586888625,1.0,0.8928571428571429,1.0,0.9304347826086957,31,27
8.173824547119889,1.0,0.8928571428571429,1.0,0.9391304347826087,32,25
8.123829344432883,1.0,0.8214285714285714,1.0,0.9304347826086956,33,26
8.057902973395931,1.0,0.8928571428571429,1.0,0.9478260869565217,34,28
8.041108098514428,1.0,0.8928571428571429,1.0,0.9391304347826086,35,30
7.928842832469776,1.0,0.8571428571428571,1.0,0.9304347826086957,36,27
7.716921857549447,1.0,0.8571428571428571,1.0,0.9043478260869564,37,28
7.629423937081785,1.0,0.8571428571428571,1.0,0.9217391304347826,38,27
7.556235945839005,1.0,0.8571428571428571,1.0,0.9130434782608696,39,30
