dataset,fold,reg,fixed_reg,algo,objective,train_acc,test_acc,train_auc,test_auc,n_iter,n_trees
hepatitis,1,5,0,lpboost_dl85,141.0,0.8715596330275229,0.8214285714285714,0.7391774891774893,0.5782608695652174,1,1
hepatitis,1,5,0,lpboost_dl85,141.0,0.8715596330275229,0.8214285714285714,0.7391774891774893,0.5782608695652174,2,1
hepatitis,1,5,0,lpboost_dl85,141.0,0.8715596330275229,0.8214285714285714,0.7391774891774893,0.5782608695652174,3,1
hepatitis,1,5,0,lpboost_dl85,141.0,0.8715596330275229,0.8214285714285714,0.7391774891774893,0.5782608695652174,4,1
hepatitis,1,5,0,lpboost_dl85,141.0,0.8715596330275229,0.8214285714285714,0.7391774891774893,0.5782608695652174,5,1
hepatitis,1,5,0,lpboost_dl85,140.33333333333334,0.8899082568807339,0.8214285714285714,0.9204545454545454,0.8652173913043477,6,6
hepatitis,1,5,0,lpboost_dl85,121.0,0.926605504587156,0.8214285714285714,0.9407467532467533,0.7826086956521738,7,7
hepatitis,1,5,0,lpboost_dl85,111.0,0.908256880733945,0.8214285714285714,0.9477813852813853,0.7869565217391304,8,8
hepatitis,1,5,0,lpboost_dl85,108.5,0.908256880733945,0.8214285714285714,0.9518398268398268,0.7826086956521738,9,9
hepatitis,1,5,0,lpboost_dl85,99.0,0.926605504587156,0.8214285714285714,0.9429112554112554,0.6565217391304348,10,8
hepatitis,1,5,0,lpboost_dl85,98.0,0.9174311926605505,0.8214285714285714,0.9650974025974026,0.6565217391304348,11,10
hepatitis,1,5,0,lpboost_dl85,91.0,0.926605504587156,0.8214285714285714,0.9680735930735931,0.6217391304347826,12,11
hepatitis,1,5,0,lpboost_dl85,85.8,0.9357798165137615,0.8214285714285714,0.9783549783549783,0.6260869565217391,13,12
hepatitis,1,5,0,lpboost_dl85,78.0,0.963302752293578,0.7857142857142857,0.968073593073593,0.5130434782608695,14,14
hepatitis,1,5,0,lpboost_dl85,61.0,0.9724770642201835,0.8214285714285714,0.9853896103896104,0.6434782608695653,15,15
hepatitis,1,5,0,lpboost_dl85,61.0,0.9724770642201835,0.8214285714285714,0.9853896103896104,0.6434782608695653,16,15
hepatitis,1,5,0,lpboost_dl85,52.647058823529406,0.9724770642201835,0.7857142857142857,0.9891774891774892,0.7478260869565218,17,15
hepatitis,1,5,0,lpboost_dl85,46.999999999999986,0.9724770642201835,0.75,0.987012987012987,0.6782608695652174,18,14
hepatitis,1,5,0,lpboost_dl85,43.909090909090914,0.9908256880733946,0.8214285714285714,0.9945887445887446,0.7260869565217392,19,16
hepatitis,1,5,0,lpboost_dl85,41.0,0.981651376146789,0.8214285714285714,0.9954004329004329,0.6695652173913044,20,17
hepatitis,1,5,0,lpboost_dl85,34.0,1.0,0.8214285714285714,1.0,0.5999999999999999,21,18
hepatitis,1,5,0,lpboost_dl85,33.4,1.0,0.8214285714285714,1.0,0.5826086956521739,22,19
hepatitis,1,5,0,lpboost_dl85,32.03296703296703,1.0,0.8214285714285714,1.0,0.5652173913043479,23,20
hepatitis,1,5,0,lpboost_dl85,30.863247863247864,1.0,0.8214285714285714,1.0,0.5652173913043479,24,22
hepatitis,1,5,0,lpboost_dl85,29.866666666666664,1.0,0.7857142857142857,1.0,0.6000000000000001,25,24
hepatitis,1,5,0,lpboost_dl85,27.592592592592595,1.0,0.8214285714285714,1.0,0.5826086956521739,26,24
hepatitis,1,5,0,lpboost_dl85,27.02721088435374,1.0,0.8214285714285714,1.0,0.5391304347826087,27,25
